,model,error,auc
0,tree,0.2923741895646804,0.6065878869624447
1,tree,0.29976798143851513,0.604248328042075
2,tree,0.3308178037886955,0.5572605690441873
3,tree,0.3390644361833953,0.5544528405481715
4,tree,0.2865938125288595,0.6178397404729415
5,tree,0.3417116422513493,0.5516916743188994
6,tree,0.276390378428068,0.6219700123286024
7,tree,0.30837209302325586,0.5899215777622486
8,tree,0.33876421764525055,0.550429737008872
9,tree,0.3368519093449239,0.5563575317884993
10,tree,0.24258025439127806,0.6713074550726497
11,tree,0.26961394769613944,0.6464433706855213
12,tree,0.26122949563084474,0.6444271264898459
13,tree,0.2956154889257194,0.6119100496270201
14,tree,0.3323619631901841,0.5515242243908872
15,tree,0.33803885853066185,0.5575639264319323
16,tree,0.252539242843952,0.6587869822798875
17,tree,0.28729533050333533,0.6109703148618659
18,tree,0.2659428047102004,0.6348087583034523
19,tree,0.29632465543644715,0.5983511603761654
20,tree,0.3327219929695858,0.5590673007156541
21,tree,0.33499999999999996,0.55017863037903
22,tree,0.2610740291262136,0.6497552708941579
23,tree,0.2861922141119222,0.608331711713557
24,tree,0.26235041423749617,0.6448213698715908
25,tree,0.293639846743295,0.6132262195831878
26,tree,0.33255086071987483,0.5556092009726095
27,tree,0.3481837938528407,0.540106990495403
28,tree,0.2502314100586239,0.667093291417846
29,tree,0.30568023525770005,0.5933808564843545
30,tree,0.2613827993254637,0.6506660988202242
31,tree,0.27103242989190035,0.6334096898231499
32,tree,0.3385314155942468,0.5547072259398582
33,tree,0.3357732440429839,0.5610914935734637
34,tree,0.2454184483811851,0.6686128329076273
35,tree,0.3033742331288344,0.5941980756184637
36,tree,0.2901799329063739,0.6090957349950156
37,tree,0.31134564643799467,0.5900478661062369
38,tree,0.337412858249419,0.5454548757448046
39,tree,0.3386752136752137,0.5569161504886307
40,tree,0.2884293750950281,0.6189967902752168
41,tree,0.3323619631901841,0.5611913148158691
42,tree,0.2849938875305623,0.615688722268508
43,tree,0.2897727272727273,0.6165897311851791
44,tree,0.33632009887223857,0.5609986721074125
45,tree,0.3259685700949121,0.5614950894537125
46,tree,0.2855613337412053,0.6206576916840622
47,tree,0.33415688696726376,0.560262688022723
48,tree,0.2923768205763867,0.6043697789262314
49,tree,0.31746758199847447,0.5818302039877594
50,tree,0.33417962551570934,0.5564326193829574
51,tree,0.34315503173164097,0.5481087777755883
52,tree,0.2917618395005329,0.6089804479412342
53,tree,0.3300214001834302,0.5649941141154006
54,tree,0.2991727941176471,0.59646119838025
55,tree,0.29724349157733543,0.6026096606430091
56,tree,0.3309987819732034,0.5568242206216578
57,tree,0.3367456073338426,0.5547374886666143
58,tree,0.2970601816222872,0.6025836368386274
59,tree,0.33500379650721335,0.5565613153382039
60,linear_regression,0.21585497004148102,0.7760271364830013
61,linear_regression,0.2167049808429119,0.769746548679737
62,linear_regression,0.24498852333588372,0.6873577105266814
63,linear_regression,0.24474660074165633,0.6816778358515867
64,linear_regression,0.24734374999999997,0.6941381138355411
65,linear_regression,0.2454240390482001,0.6655382842660085
66,linear_regression,0.24182207276062362,0.7895052124833618
67,linear_regression,0.24313605857230014,0.7520749311430257
68,linear_regression,0.24839694656488553,0.6768429054374157
69,linear_regression,0.25594787088952875,0.6818844048995707
70,linear_regression,0.24415182029434546,0.7226499813482382
71,linear_regression,0.20282433271260092,0.8237995744494165
72,linear_regression,0.2196326593610125,0.8343474535167826
