,model,error,auc
132,naive_bayes,0.2740355174525413,0.7073494010257535
133,naive_bayes,0.3065204143814747,0.6981805626598466
134,naive_bayes,0.46351865955826355,0.5834861318742762
135,naive_bayes,0.2478120681713496,0.5077032880050516
136,naive_bayes,0.328266104756171,0.6825068077726554
137,naive_bayes,0.27261761158021713,0.7134767075784317
138,naive_bayes,0.2787482910527115,0.7041891948184954
139,naive_bayes,0.29477838494231934,0.7078280161095151
140,naive_bayes,0.40816640986132513,0.5498221660106312
141,naive_bayes,0.24634783945871142,0.506870680232091
142,naive_bayes,0.363182527301092,0.6591422058717102
143,naive_bayes,0.2975751995089012,0.7041466270500318
144,naive_bayes,0.2857142857142857,0.7269705985660861
145,naive_bayes,0.2965571205007824,0.7135055253418967
146,naive_bayes,0.3262757044935263,0.555970708790589
147,naive_bayes,0.24949698189134806,0.5095265604623027
148,naive_bayes,0.2923217829339032,0.6735100190970712
149,naive_bayes,0.3095163316582915,0.7079683246381897
150,naive_bayes,0.28356374807987716,0.7515221671057633
151,naive_bayes,0.2781355412450168,0.7528897830352319
152,naive_bayes,0.26443629697525206,0.5109803390263378
153,naive_bayes,0.24504029758214507,0.5069431784561481
154,naive_bayes,0.3144290710050175,0.6465818556700001
155,naive_bayes,0.3261467889908257,0.6876905184412057
156,naive_bayes,0.2927198425911912,0.6815135800399323
157,naive_bayes,0.23534023204766386,0.5952984769580512
158,naive_bayes,0.26358737490377215,0.5175145949477833
159,naive_bayes,0.2425962866349547,0.500659091031514
160,naive_bayes,0.2762993112085159,0.5784801992969888
161,naive_bayes,0.2560416029366779,0.5368764196116923
162,naive_bayes,0.33902699405215797,0.6906216635782395
163,naive_bayes,0.5380894800483675,0.6164063992773888
164,naive_bayes,0.23918212077983836,0.5019355279917733
165,naive_bayes,0.24761465066174204,0.5058641865748466
166,naive_bayes,0.30391854365936444,0.6184774640691295
167,naive_bayes,0.2621268656716418,0.5462955345440644
168,naive_bayes,0.29862385321100915,0.6315422327533188
169,naive_bayes,0.7597005805071799,0.5017034068136272
170,naive_bayes,0.23501601342077172,0.5005753813656942
171,naive_bayes,0.23700560691013794,0.5014287156163931
172,naive_bayes,0.7236458493171705,0.5226600527356625
173,naive_bayes,0.25178219323524953,0.526755128478744
174,naive_bayes,0.2936241610738255,0.6635918146470519
175,naive_bayes,0.6341313689379988,0.5682284980744544
176,naive_bayes,0.254239925315077,0.5054981691452626
177,naive_bayes,0.2519804996953078,0.5134063297098106
178,naive_bayes,0.4303011487115802,0.6217232146487237
179,naive_bayes,0.280156862745098,0.5394996068791629
180,svm,0.2452657299938913,0.5
181,svm,0.2491509725223835,0.5
182,svm,0.24135763670647392,0.5
183,svm,0.23829658713379642,0.5
184,svm,0.2487661937075879,0.5
185,svm,0.25,0.5
186,svm,0.24329707369388698,0.5
187,svm,0.248077514610889,0.5
188,svm,0.2470733210104744,0.5
189,svm,0.24269141531322502,0.5
190,svm,0.23209081147415245,0.5274742446616518
191,svm,0.19201877934272304,0.669175805500394
192,svm,0.19864490298737292,0.6655988217455069
193,svm,0.24101705237515225,0.5
194,svm,0.23882424984690753,0.5
195,svm,0.23756218905472637,0.5
196,svm,0.24303215926493105,0.5
197,svm,0.23679303915475447,0.5006553079947575
198,svm,0.20242725999688815,0.6772434902003475
199,svm,0.23792104862063712,0.5
200,svm,0.24439601494396013,0.5
201,svm,0.24385371850030735,0.5
202,svm,0.242772769661175,0.5
203,svm,0.24869990822881616,0.5
204,svm,0.18291749579060157,0.6947907444919759
205,svm,0.2369924347691833,0.5
206,svm,0.24133169683952127,0.5
207,svm,0.24878048780487805,0.5
208,svm,0.2424896009859806,0.5
209,svm,0.2502691893554838,0.5
210,svm,0.17064899028826885,0.7103004078538655
211,svm,0.245476847592763,0.5
212,svm,0.24186188013386067,0.5
213,svm,0.24405218726016886,0.5
214,svm,0.24265048996733551,0.5
215,svm,0.23775370059514722,0.5
216,svm,0.22965338219575504,0.5
217,svm,0.25038880248833595,0.5
218,svm,0.2391206143653064,0.5
219,svm,0.24922360248447206,0.5
220,svm,0.23591438463959713,0.5
221,svm,0.24363470041164814,0.5
222,svm,0.24047145262513392,0.5
223,svm,0.24646684267743435,0.5
224,svm,0.23707555827470173,0.5
225,svm,0.2333434742926681,0.5
226,svm,0.24644693075294832,0.5
227,svm,0.2372460846642891,0.5
228,svm,0.24281784841075793,0.5
229,svm,0.23803604723430705,0.5
230,svm,0.2439550284922224,0.5
231,svm,0.24913076341647766,0.5
232,svm,0.24055727554179562,0.5
233,svm,0.2408725950613544,0.5
234,svm,0.23436055469953776,0.5
235,svm,0.24436148701197702,0.5
236,svm,0.24235403151065804,0.5
237,svm,0.24506049931076734,0.5
238,svm,0.2472416472416472,0.5
239,svm,0.25173637907084423,0.5
