,case,model,privacy,real,uniform,uniform2,error,auc,roc_x,roc_y
86,4mff,tree,4,m,0,0,0.3307135151795346,0.5502123203130194,"0.0,0.22111876773408998,1.0","0.0,0.3215434083601286,1.0"
87,4mtt,tree,4,m,1,1,0.3363552550706822,0.5508292657928463,"0.0,0.2336090377244301,1.0","0.0,0.3352675693101225,1.0"
88,4tffNone,tree,4,t,0,0,0.2494317320806183,0.6644557475124766,"0.0,0.1655602494467914,1.0","0.0,0.49447174447174447,1.0"
89,4ttt,tree,4,t,1,1,0.29915067631330605,0.5956846450774771,"0.0,0.20169807413543175,1.0","0.0,0.39306736429038586,1.0"
90,5fff,tree,5,f,0,0,0.24976452119309267,0.6579168833464192,"0.0,0.16601441812564366,1.0","0.0,0.48184818481848185,1.0"
91,5ftt,tree,5,f,1,1,0.2724931838836716,0.6368876482624921,"0.0,0.18642370845014017,1.0","0.0,0.4601990049751244,1.0"
92,5mff,tree,5,m,0,0,0.3341035120147874,0.556423649238184,"0.0,0.23685800604229607,1.0","0.0,0.34970530451866405,1.0"
93,5mtt,tree,5,m,1,1,0.34092317224287483,0.5444924995689407,"0.0,0.2384428223844282,1.0","0.0,0.3274278215223097,1.0"
94,5tffNone,tree,5,t,0,0,0.25206738131699846,0.6547634938752975,"0.0,0.1681717840658238,1.0","0.0,0.4776987718164189,1.0"
95,5ttt,tree,5,t,1,1,0.3026902382782475,0.586838310995579,"0.0,0.20036429872495445,1.0","0.0,0.37404092071611256,1.0"
96,6fff,tree,6,f,0,0,0.2875687232742822,0.6171457678248236,"0.0,0.20231907237105157,1.0","0.0,0.43661060802069857,1.0"
97,6ftt,tree,6,f,1,1,0.32347985909021293,0.5716892179807987,"0.0,0.2273001811958929,1.0","0.0,0.3706786171574904,1.0"
98,6mff,tree,6,m,0,0,0.3354401109912132,0.5548996530932391,"0.0,0.23025107164727496,1.0","0.0,0.34005037783375314,1.0"
99,6mtt,tree,6,m,1,1,0.3318440918194423,0.5629556372600661,"0.0,0.23790322580645162,1.0","0.0,0.3638145003265839,1.0"
100,6tffNone,tree,6,t,0,0,0.2835454684864285,0.624589369956785,"0.0,0.19491869918699187,1.0","0.0,0.44409743910056215,1.0"
101,6ttt,tree,6,t,1,1,0.33333333333333337,0.5611355323513206,"0.0,0.24100502512562813,1.0","0.0,0.3632760898282695,1.0"
102,7fff,tree,7,f,0,0,0.28776978417266186,0.6058361579520573,"0.0,0.19181380417335472,1.0","0.0,0.4034861200774693,1.0"
103,7ftt,tree,7,f,1,1,0.30323706759758806,0.5976189129112597,"0.0,0.2077375946173255,1.0","0.0,0.40297542043984474,1.0"
104,7mff,tree,7,m,0,0,0.3339864355689526,0.550581600931619,"0.0,0.23324818235409708,1.0","0.0,0.3344113842173351,1.0"
105,7mtt,tree,7,m,1,1,0.34297139341741,0.5460186648800529,"0.0,0.23525811058967558,1.0","0.0,0.32729544034978136,1.0"
106,7tffNone,tree,7,t,0,0,0.28813303099017384,0.6115901340078379,"0.0,0.19730319254412057,1.0","0.0,0.42048346055979646,1.0"
107,7ttt,tree,7,t,1,1,0.3331804281345566,0.5498867384816343,"0.0,0.22754611066559743,1.0","0.0,0.327319587628866,1.0"
108,8fff,tree,8,f,0,0,0.2959401709401709,0.6009612638124928,"0.0,0.20036173633440515,1.0","0.0,0.4022842639593909,1.0"
109,8ftt,tree,8,f,1,1,0.313881107998755,0.5811283449437512,"0.0,0.216874872004915,1.0","0.0,0.37913156189241737,1.0"
110,8mff,tree,8,m,0,0,0.34434250764526,0.5454699936276287,"0.0,0.23482688391038697,1.0","0.0,0.3257668711656442,1.0"
111,8mtt,tree,8,m,1,1,0.33620429132668483,0.5552498777288694,"0.0,0.23209283713485393,1.0","0.0,0.3425925925925926,1.0"
112,8tffNone,tree,8,t,0,0,0.3020358553631115,0.6027343178333917,"0.0,0.21093907098330988,1.0","0.0,0.41640770665009325,1.0"
113,8ttt,tree,8,t,1,1,0.3377192982456141,0.5598902635245178,"0.0,0.23692679002413516,1.0","0.0,0.3567073170731707,1.0"
114,9fff,tree,9,f,0,0,0.293748084584738,0.6029310368457841,"0.0,0.20430965682362331,1.0","0.0,0.41017173051519157,1.0"
115,9ftt,tree,9,f,1,1,0.2881960601830309,0.6145598149658578,"0.0,0.19734151329243355,1.0","0.0,0.426461143224149,1.0"
116,9mff,tree,9,m,0,0,0.3341038680844506,0.5611848480777092,"0.0,0.23665516541505988,0.23685812867870915,1.0","0.0,0.3591549295774648,0.3591549295774648,1.0"
117,9mtt,tree,9,m,1,1,0.3305136880959705,0.563890844592904,"0.0,0.22780159216166565,1.0","0.0,0.35558328134747347,1.0"
118,9tffNone,tree,9,t,0,0,0.2891193313728525,0.6134740289817248,"0.0,0.2044767090139141,1.0","0.0,0.43142476697736354,1.0"
119,9ttt,tree,9,t,1,1,0.33554817275747506,0.5569308034055958,"0.0,0.23353293413173654,1.0","0.0,0.34739454094292804,1.0"
